Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
[280]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001AA	HAL::I2CIntr::I2CLogs_t	
[281]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001AB	HAL::I2CIntr::I2CLogs_t	
[282]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001AC	HAL::I2CIntr::I2CLogs_t	
[283]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001AD	HAL::I2CIntr::I2CLogs_t	
[284]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x200001AE	HAL::I2CIntr::I2CLogs_t	
[285]	I2C_LOG_TXN_DONE	0x200001AF	HAL::I2CIntr::I2CLogs_t	
[286]	I2C_LOG_TXN_DEQUEUED	0x200001B0	HAL::I2CIntr::I2CLogs_t	
[287]	I2C_LOG_SB_MASTER_TX	0x200001B1	HAL::I2CIntr::I2CLogs_t	
[288]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200001B2	HAL::I2CIntr::I2CLogs_t	
[289]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x200001B3	HAL::I2CIntr::I2CLogs_t	
[290]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x200001B4	HAL::I2CIntr::I2CLogs_t	
[291]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x200001B5	HAL::I2CIntr::I2CLogs_t	
[292]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001B6	HAL::I2CIntr::I2CLogs_t	
[293]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001B7	HAL::I2CIntr::I2CLogs_t	
[294]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001B8	HAL::I2CIntr::I2CLogs_t	
[295]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001B9	HAL::I2CIntr::I2CLogs_t	
[296]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001BA	HAL::I2CIntr::I2CLogs_t	
[297]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001BB	HAL::I2CIntr::I2CLogs_t	
[298]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001BC	HAL::I2CIntr::I2CLogs_t	
[299]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001BD	HAL::I2CIntr::I2CLogs_t	
[300]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001BE	HAL::I2CIntr::I2CLogs_t	
[301]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001BF	HAL::I2CIntr::I2CLogs_t	
[302]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C0	HAL::I2CIntr::I2CLogs_t	
[303]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C1	HAL::I2CIntr::I2CLogs_t	
[304]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C2	HAL::I2CIntr::I2CLogs_t	
[305]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C3	HAL::I2CIntr::I2CLogs_t	
[306]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C4	HAL::I2CIntr::I2CLogs_t	
[307]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C5	HAL::I2CIntr::I2CLogs_t	
[308]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C6	HAL::I2CIntr::I2CLogs_t	
[309]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C7	HAL::I2CIntr::I2CLogs_t	
[310]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C8	HAL::I2CIntr::I2CLogs_t	
[311]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001C9	HAL::I2CIntr::I2CLogs_t	
